Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2011-11-08 05:04:16,1320708856.0,a,26.100613,-2.29,112.007721,11.6,13100000000.0,12170000000.0,13.17,12.06,0.66,1.98,3.06,1.88,9.42,15.71,16.01,7.25,28.96,6460000000.0,18.67,22.2,2930000000.0,1290000000.0,1020000000.0,2.87,61.0,3100000000.0,8.93,2170000000.0,51.62,3.47,12.07,1120000000.0,2060000000.0,1.61,34.16,41.68,6018540.0,347210000.0,344790000.0,0.25,82.1,4500000.0,0.8,N/A,4139999.9999999995
2013-05-14 00:28:58,1368471538.0,a,29.998304,28.27,149.531342,16.73,14940000000.0,15060000000.0,13.75,13.08,2.07,2.19,2.83,2.18,10.75,15.96,15.69,6.85,22.38,6900000000.0,19.85,2.8,3600000000.0,1400000000.0,1100000000.0,3.13,-22.2,2450000000.0,7.06,2360000000.0,44.12,2.55,15.41,1320000000.0,737380000.0,1.66,42.08,41.25,3715590.0,347160000.0,346140000.0,0.23,83.2,4370000.0,1.2,1.3,3080000.0
2013-09-06 06:09:52,1378427992.0,a,32.449276,23.26,151.059494,23.5,15780000000.0,15860000000.0,17.74,15.09,2.16,2.32,3.31,2.32,11.93,13.73,14.04,5.98,19.41,6830000000.0,19.8,-4.1,3600000000.0,1330000000.0,938000000.0,2.69,-30.9,2330000000.0,7.04,2700000000.0,56.39,2.96,14.46,1260000000.0,817000000.0,1.81,46.54,44.09,2615100.0,331000000.0,330030000.0,0.23,83.5,2780000.0,1.2,0.8,3300000.0
2004-04-13 04:20:10,1081810210.0,aa,64.772087,-7.28,85.336929,5.64,29780000000.0,36340000000.0,24.92,12.98,1.26,1.33,2.41,1.65,10.8,6.4,8.44,4.52,10.66,22060000000.0,25.638,N/A,4019999999.9999995,3360000000.0,1190000000.0,1.375,N/A,459000000.0,0.53,7310000000.0,0.595,1.374,14.078,N/A,N/A,1.808,35.53,31.74,5733954.0,869360000.0,860700000.0,1.0,79.36,12540000.0,2.497,1.46,12700000.0
2004-09-09 16:15:45,1094726745.0,aa,65.123962,-17.74,85.096153,12.99,28610000000.0,35240000000.0,20.88,12.75,1.43,1.26,2.34,1.56,9.7,7.04,9.46,5.08,11.87,22660000000.0,25.984,N/A,4019999999.9999995,3630000000.0,1370000000.0,1.575,N/A,466000000.0,0.54,6880000000.0,0.561,1.372,14.049,N/A,N/A,1.676,31.81,33.49,3842909.0,869840000.0,861100000.0,1.0,76.64,7780000.0,1.935,0.9,7930000.0
2004-11-24 10:37:20,1101272840.0,aa,66.334,-18.59,90.244804,9.08,29230000000.0,35370000000.0,21.15,13.49,1.47,1.26,2.34,1.52,9.53,7.01,9.57,5.13,11.58,23250000000.0,26.536,N/A,4019999999.9999995,3710000000.0,1390000000.0,1.588,N/A,561000000.0,0.64,6650000000.0,0.53,1.293,14.36,N/A,N/A,1.736,32.58,32.74,4472222.0,870480000.0,861400000.0,1.04,77.19,9910000.0,2.209,1.15,10140000.0
2004-12-05 00:36:42,1102187202.0,aa,64.58474,-13.03,90.861984,7.96,28600000000.0,34750000000.0,20.69,13.2,1.5,1.25,2.33,1.49,9.36,7.01,9.57,5.13,11.58,23250000000.0,26.536,N/A,4019999999.9999995,3710000000.0,1390000000.0,1.588,N/A,561000000.0,0.64,6650000000.0,0.53,1.293,14.36,N/A,N/A,1.736,33.03,32.64,4585102.0,870480000.0,861400000.0,1.04,77.11,9910000.0,2.209,1.15,10140000.0
2005-01-13 07:18:32,1105580912.0,aa,57.980812,0.27,90.04336500000002,11.33,25630000000.0,31510000000.0,18.43,11.96,1.12,1.1,1.95,1.34,8.57,7.02,9.39,5.12,11.17,23480000000.0,26.757,N/A,4019999999.9999995,3680000000.0,1400000000.0,1.597,N/A,457000000.0,0.52,6080000000.0,0.457,1.322,15.207,N/A,N/A,1.611,32.49,32.09,4902727.0,870980000.0,861900000.0,1.04,77.16,12810000.0,2.918,1.49,9910000.0
2005-02-07 03:48:37,1107728317.0,aa,58.513599,6.46,91.918945,6.35,25580000000.0,31260000000.0,18.39,11.89,1.39,1.08,1.92,1.33,8.5,7.02,9.39,5.12,11.17,23480000000.0,26.757,N/A,4019999999.9999995,3680000000.0,1400000000.0,1.6,N/A,457000000.0,0.52,6080000000.0,0.457,1.322,15.207,N/A,N/A,1.611,31.69,31.78,4991772.0,870980000.0,861900000.0,1.04,75.67,11840000.0,1.892,1.37,12810000.0
2005-05-22 08:48:23,1116731903.0,aa,54.505852,15.83,91.549873,7.76,23940000000.0,51030000000.0,N/A,11.83,1.38,N/A,1.81,N/A,N/A,N/A,N/A,0.0,0.0,0.0,N/A,N/A,4860000000.0,N/A,0.0,N/A,N/A,497000000.0,0.57,7280000000.0,0.543,1.131,15.305,N/A,N/A,1.705,29.66,31.26,5222440.0,872140000.0,863500000.0,0.99,78.45,15160000.0,2.902,1.76,11970000.0
2006-06-20 04:32:21,1150758141.0,aa,59.161579,41.45,97.48526,24.04,25320000000.0,32240000000.000004,16.15,8.9,0.8,0.96,1.89,1.19,8.36,5.82,9.51,4.73,11.56,27180000000.0,31.183,16.4,4940000000.0,3860000000.0,1580000000.0,1.8,133.8,459000000.0,0.528,7330000000.0,0.526,1.183,15.945,1700000000.0,-238130000.0,2.3,32.27,30.9,7476350.0,870100000.0,868450000.0,0.26,78.7,15800000.0,2.0,1.8,12880000.0
2007-01-25 19:09:37,1169732377.0,aa,64.768738,-0.61,112.876564,-4.76,27300000000.0,34380000000.0,12.25,10.45,0.96,0.91,1.89,1.13,6.313,7.4,13.71,7.34,15.43,30380000000.0,34.966,17.6,4940000000.0,5450000000.0,2160000000.0,2.57,60.3,506000000.0,0.583,7240000000.0,0.494,1.045,16.798,2570000000.0,-312250000.0,1.5,30.28,29.15,7296080.0,867740000.0,866090000.0,0.26,80.4,17750000.0,2.7,2.1,16520000.0
2007-02-23 09:03:42,1172201622.0,aa,72.580414,6.18,115.288673,-4.94,30150000000.0,37000000000.0,13.54,11.14,1.05,0.99,2.07,1.22,6.662,7.4,13.6,7.54,15.43,30380000000.0,34.959,20.0,4940000000.0,5550000000.0,2160000000.0,2.57,60.3,506000000.0,0.582,7240000000.0,0.494,1.258,16.798,2570000000.0,-533750000.0,1.62,31.93,29.58,8228710.0,867740000.0,867880000.0,0.06,80.3,14360000.0,2.4,1.7,17750000.0
2007-05-16 21:12:47,1179330167.0,aa,81.170609,11.57,120.764511,-4.15,33950000000.000004,36860000000.0,15.21,12.84,1.12,1.1,2.22,1.21,6.637,7.4,13.6,7.54,15.43,30380000000.0,34.959,20.0,7060000000.0,5550000000.0,2160000000.0,2.57,60.3,506000000.0,0.582,7240000000.0,0.494,1.258,17.684,2570000000.0,-533750000.0,1.36,35.46,32.38,11557200.0,869520000.0,867880000.0,0.06,80.3,13620000.0,1.2,1.6,12620000.0
2007-06-22 06:39:12,1182474552.0,aa,83.166634,-4.87,120.445007,-10.84,35080000000.0,42470000000.0,15.34,12.37,1.28,1.12,2.28,1.36,7.472,7.38,13.66,7.55,15.13,31180000000.0,35.896,11.2,7060000000.0,5680000000.0,2220000000.0,2.63,8.9,420000000.0,0.483,7760000000.0,0.503,1.338,17.684,3310000000.0,132000000.0,1.41,39.78,34.98,11341600.0,869520000.0,868220000.0,0.06,80.9,16800000.0,1.2,1.9,15370000.0
2007-10-11 20:57:59,1192116479.0,aa,79.528526,-69.87,124.971199,-41.87,33659999999.999996,41030000000.0,14.7,11.2,0.98,1.09,2.04,1.31,7.512,7.23,13.33,6.91,14.0,31450000000.0,36.164,3.5,7060000000.0,5460000000.0,2190000000.0,2.59,-3.9,1170000000.0,1.321,7900000000.0,0.47,1.353,18.978001,3960000000.0,568130000.0,1.48,36.79,37.91,18710800.0,884030000.0,882350000.0,0.09,78.1,19800000.0,1.4,2.2,15740000.0
